# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Tue Mar 10 14:49:37 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: CLUE + GALEX (Vegamags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  CLUE_FUVmag  CLUE_LUVmag  GALEX_FUVmag  GALEX_NUVmag
0.00015547 -2.00000 6.60000 0.5868907571 2.3120075279    0.587 -0.373  3.6825  4.261    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.2e-14      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 5.703 20.739 29.791 19.214 10.037
0.00015547 -2.00000 6.60000 0.6003244519 2.3213410765    0.600 -0.357  3.6841  4.262    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.33e-14      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 5.663 20.693 30.208 19.115 9.944
0.00015547 -2.00000 6.60000 0.6067378521 2.3256297627    0.607 -0.350  3.6849  4.263    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.39e-14      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 5.646 20.671 30.415 19.068 9.900
0.00015547 -2.00000 6.60000 0.6314778924 2.3412391888    0.631 -0.321  3.6878  4.262    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.65e-14      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 5.572 20.585 31.216 18.880 9.723
0.00015547 -2.00000 6.60000 0.6499999762 2.3520353107    0.650 -0.298  3.6901  4.261    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.88e-14      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 5.515 20.516 31.785 18.738 9.590
0.00015547 -2.00000 6.60000 0.6715672016 2.3637473915    0.672 -0.273  3.6927  4.261    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.13e-14      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 5.453 20.297 31.443 18.538 9.435
0.00015547 -2.00000 6.60000 0.6999999881 2.3779266974    0.700 -0.237  3.6963  4.257    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.55e-14      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 5.362 19.997 30.976 18.263 9.218
0.00015547 -2.00000 6.60000 0.7244389653 2.3890969410    0.725 -0.198  3.7051  4.269    0  0.000  0.541     0.00     0.00     0.00     0.00     0.00 -1 -6.95e-14      0.00 7.507e-01 2.491e-01 2.923e-05 7.934e-06 7.201e-05 -1.000 1.636e-04 5.266 19.316 29.740 17.674 8.825
0.00015547 -2.00000 6.60000 0.7500000000 2.3998889087    0.750 -0.158  3.7143  4.280    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -7.41e-14      0.00 7.507e-01 2.491e-01 2.904e-05 7.930e-06 7.202e-05 -1.000 1.636e-04 5.164 18.571 28.239 17.032 8.426
0.00015547 -2.00000 6.60000 0.7881935835 2.4145242431    0.788 -0.112  3.7189  4.274    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -8.07e-14      0.00 7.507e-01 2.491e-01 2.904e-05 7.930e-06 7.202e-05 -1.000 1.636e-04 5.051 18.142 27.395 16.644 8.165
